"","update","seed","FIX","K","ED","MUT","TRD","VEL","edit_distance_mean","edit_distance_max","edit_distance_min","average_unique_genomes","alpha","beta","K_str","K_factor","FIX_str","ED_str","MUT_str","MUT_factor"
"102",0,510,0,5,0,0.1,0,0.1,79.095,86,70,100,-0.00191953503420705,0.000370454667382344,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"103",0,510,0,10,0,0.001,0,0.1,85.15,90,79,100,-0.00376691026539725,0.00144875708972912,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"104",0,510,0,10,0,0.01,0,0.1,85.15,90,79,100,-0.00376691026539725,0.00144875708972912,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"105",0,510,0,10,0,0.1,0,0.1,85.15,90,79,100,-0.00376691026539725,0.00144875708972912,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"106",0,510,1,3,0,0.001,0,0.1,73.24,81,63,100,-4.72866595758735e-05,4.19038066631562e-05,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"107",0,510,1,3,0,0.01,0,0.1,73.24,81,63,100,-4.72866595758735e-05,4.19038066631562e-05,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"108",0,510,1,3,0,0.1,0,0.1,73.24,81,63,100,-4.72866595758735e-05,4.19038066631562e-05,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"109",0,511,0,3,0,0.001,0,0.1,77.335,90,58,100,-0.00133651558785579,0.000469909508536682,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"110",0,511,0,3,0,0.01,0,0.1,77.335,90,58,100,-0.00133651558785579,0.000469909508536682,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"111",0,511,0,3,0,0.1,0,0.1,77.335,90,58,100,-0.00133651558785579,0.000469909508536682,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"112",0,511,0,5,0,0.001,0,0.1,80.845,88,72,100,-0.010451058321329,0.00368572617819653,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"113",0,511,0,5,0,0.01,0,0.1,80.845,88,72,100,-0.010451058321329,0.00368572617819653,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"114",0,511,0,5,0,0.1,0,0.1,80.845,88,72,100,-0.010451058321329,0.00368572617819653,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"115",0,511,0,10,0,0.001,0,0.1,85.38,91,79,100,-0.00194683703591537,0.000710501895438695,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"116",0,511,0,10,0,0.01,0,0.1,85.38,91,79,100,-0.00194683703591537,0.000710501895438695,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"117",0,511,0,10,0,0.1,0,0.1,85.38,91,79,100,-0.00194683703591537,0.000710501895438695,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"118",0,511,1,3,0,0.001,0,0.1,76.71,84,69,100,0.0015921819344912,-0.000590668992916,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"119",0,511,1,3,0,0.01,0,0.1,76.71,84,69,100,0.0015921819344912,-0.000590668992916,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"120",0,511,1,3,0,0.1,0,0.1,76.71,84,69,100,0.0015921819344912,-0.000590668992916,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"121",0,512,0,3,0,0.001,0,0.1,78.455,90,57,100,-0.0135933547689082,0.00496268387843025,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"122",0,512,0,3,0,0.01,0,0.1,78.455,90,57,100,-0.0135933547689082,0.00496268387843025,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"123",0,512,0,3,0,0.1,0,0.1,78.455,90,57,100,-0.0135933547689082,0.00496268387843025,"K = 3","K = 3","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"124",0,512,0,5,0,0.001,0,0.1,80.325,87,72,100,-0.00200915498233094,0.000586708643611871,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"125",0,512,0,5,0,0.01,0,0.1,80.325,87,72,100,-0.00200915498233094,0.000586708643611871,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"126",0,512,0,5,0,0.1,0,0.1,80.325,87,72,100,-0.00200915498233094,0.000586708643611871,"K = 5","K = 5","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"127",0,512,0,10,0,0.001,0,0.1,84.235,89,75,100,-0.0079005314426039,0.0028780850855356,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
"128",0,512,0,10,0,0.01,0,0.1,84.235,89,75,100,-0.0079005314426039,0.0028780850855356,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.01","Mut. Rate: 0.01"
"129",0,512,0,10,0,0.1,0,0.1,84.235,89,75,100,-0.0079005314426039,0.0028780850855356,"K = 10","K = 10","Random NK","Levenshtein","Mut. Rate: 0.1","Mut. Rate: 0.1"
"130",0,512,1,3,0,0.001,0,0.1,75.48,81,66,100,0.000294544731407357,-0.000108376727133859,"K = 3","K = 3","Fixed NK","Levenshtein","Mut. Rate: 0.001","Mut. Rate: 0.001"
